feature,fault_id,healthy_median,fault_median,robust_effect,abs_robust_effect
acc_mag_peak,F4,4.538930574523173,3.770409199875232,-1.1737222470701312,1.1737222470701312
acc_mag_rms,F4,3.425658377832428,2.8007193438928693,-1.1674831479456642,1.1674831479456642
acc_mag_p2p,F4,2.974917414660128,3.2499405587898176,1.038253354532409,1.038253354532409
acs_min,F4,1429.0,1384.5,-0.7946428571428571,0.7946428571428571
ax_std,F4,2.570335263824352,2.2338120925036726,-0.7502320554279897,0.7502320554279897
ax_rms,F4,2.570335263824352,2.2338120925036726,-0.7502320554279897,0.7502320554279897
acs_mean,F4,1447.08,1401.595,-0.7476781458042224,0.7476781458042224
acs_rms,F4,1447.112818684155,1401.6060594418013,-0.7468723873370267,0.7468723873370267
ay_mean,F4,1.5316900000000002,1.5422257499999996,0.6749143204893577,0.6749143204893577
acs_std,F4,9.253916738333018,6.239167779582963,-0.6604352631647573,0.6604352631647573
acs_max,F4,1477.0,1419.0,-0.6590909090909091,0.6590909090909091
acs_p2p,F4,47.0,36.0,-0.6470588235294118,0.6470588235294118
spectral_energy,F4,5377.151765203438,4994.516652881965,-0.5560201040873619,0.5560201040873619
acc_mag_std,F4,0.8400849782881068,0.8144409659732493,-0.46657980007649896,0.46657980007649896
ax_mean,F4,-0.926533,-0.931485,-0.39779893159818186,0.39779893159818186
rpm_slope_rpm_per_s,F4,0.6212690317262956,0.9155891397283957,0.18136638211896397,0.18136638211896397
segment,F4,0.0,0.0,0.0,0.0
